Operation Number,Operation Region,Operation Name,Address Line 1,Address Line 2,City,Zip Code,County,Operation Type,Capacity,Permit Issue Date,"Permit Status
3/1/2021","Operating Status
3/1/2021","Permit Status
3/6/2021","Operating Status
3/6/2021","Permit Status
3/13/2021","Operating Status
3/13/2021","Permit Status
3/20/2021","Operating Status
3/20/2021","Permit Status
3/27/2021","Operating Status
3/27/2021",,
1617347,3,Lil' Lambs Christian Daycare,9509 FOX HILL DR,,FORT WORTH,76131,TARRANT,Licensed Child-Care Home,12,12/2/16,Full,N,,,,,,,,,,
1617379,3,Quail Valley Preparatory School,662 S EDMONDS LN,,LEWISVILLE,75067,DENTON,Licensed Center - Child Care Program,175,3/23/16,Full,Y,,,,,,,,,,
1617382,2,"Junior Buckaroo Academy, LLC",110 N GRAHAM AVE,,BRECKENRIDGE,76424,STEPHENS,Licensed Center - Child Care Program,100,5/5/16,Full,Y,,,,,,,,,,
1617417,11,Leslie Ann Vasquez,808 WASHINGTON AVE,,ROBSTOWN,78380,NUECES,Listed Family Home,3,2/22/16,Full,Y,,,,,,,,,,
1617426,2,Mary  Cardona DBA Kids Korner,718 VICTORIA ST,,ABILENE,79603,TAYLOR,Registered Child-Care Home,9,1/8/16,Full,Y,,,,,,,,,,
1617433,3,Taffy Olszewski,805 SAN MIGUEL TRL,,HASLET,76052,TARRANT,Listed Family Home,3,1/19/16,Full,Y,,,,,,,,,,
1617481,3,Jelita Caldwell,123 MATAMOROS ST,,GRAND PRAIRIE,75051,DALLAS,Listed Family Home,3,1/15/16,Full,Y,,,,,,,,,,
1617520,1,Mrs. O's Learning Academy,3305 83RD ST,,LUBBOCK,79423,LUBBOCK,Licensed Center - Child Care Program,108,7/1/16,Full,Y,,,,,,,,,,
1617599,4,Cheryl   Howell,1404 SILVER FALLS RD,,LONGVIEW,75604,GREGG,Listed Family Home,3,1/19/16,Full,Y,,,,,,,,,,
1617621,3,Annette Fielden,5552 SECOND ST,,NEVADA,75173,COLLIN,Registered Child-Care Home,12,4/5/16,Full,Y,,,,,,,,,,
1617629,3,Smart Start Montessori School,10674 FM 1641,,FORNEY,75126,KAUFMAN,Licensed Center - Child Care Program,85,9/2/16,Full,Y,,,,,,,,,,
1617636,3,Sandra Trevino,3808 DENHAM WAY,,PLANO,75023,COLLIN,Licensed Child-Care Home,12,9/22/16,Full,N,,,,,,,,,,
1617676,3,Chau Thi Truong,3509 RIM FIRE DR,,GARLAND,75044,DALLAS,Registered Child-Care Home,12,3/14/16,Full,Y,,,,,,,,,,
1617680,8,Sprouts Learning Academy,1359 E COLLEGE ST,,SEGUIN,78155,GUADALUPE,Licensed Center - Child Care Program,100,3/9/16,Full,Y,,,,,,,,,,
1617685,7,Sandra Lee Powell,4307 LORI DR,,KILLEEN,76549,BELL,Registered Child-Care Home,12,3/2/16,Full,Y,,,,,,,,,,
1617776,8,Kids Are Angels Learning Center,342 WHITEWOOD ST,,SAN ANTONIO,78242,BEXAR,Licensed Center - Child Care Program,99,8/12/16,Full,Y,,,,,,,,,,
1617781,6,Busy Bee,1207 N ALABAMA RD,,WHARTON,77488,WHARTON,Licensed Center - Child Care Program,37,10/24/16,Full,Y,,,,,,,,,,
1617876,4,Laura Burch,329 S DUNBAR LN,,EMORY,75440,RAINS,Listed Family Home,3,1/27/16,Full,Y,,,,,,,,,,
1617900,3,Gretchen Palmer,2013 LYMINGTON RD,,CARROLLTON,75007,DENTON,Licensed Child-Care Home,12,7/19/16,Full,Y,,,,,,,,,,
1618039,8,Alisa Yvette Craig,4922 LARKHILL FARM,,SAN ANTONIO,78244,BEXAR,Registered Child-Care Home,12,3/10/16,Full,Y,,,,,,N,,,,
1618103,7,Reggio Emilia Multilingual Preschool Academy,5710 MCCARTY LN,,AUSTIN,78749,TRAVIS,Licensed Center - Child Care Program,140,2/3/17,Full,Y,,,,,,,,,,
1618158,3,DKH Academy,2425 BRIARHILL BLVD,,HIGHLAND VILLAGE,75077,DENTON,Licensed Center - Child Care Program,214,4/22/16,Full,Y,,,,,,,,,,
1618177,3,Buckeye Trail Commons Early Head Start and Head Start,6717 BEXAR ST,,DALLAS,75215,DALLAS,Licensed Center - Child Care Program,160,8/26/16,Full,Y,,,,,,,,,,
1618180,10,Lunitas Day Care LLC,7682 ALAMEDA AVE,,EL PASO,79915,EL PASO,Licensed Center - Child Care Program,41,4/1/16,Full,Y,,,,,,,,,,
1618197,3,Primrose School of Highland Village,2100 HIGHLAND VILLAGE RD,,HIGHLAND VILLAGE,75077,DENTON,Licensed Center - Child Care Program,176,7/27/16,Full,Y,,,,,,,,,,
1618199,3,Ha Hai Thi Nguyen,2727 EXCALIBUR DR,,GRAND PRAIRIE,75052,TARRANT,Registered Child-Care Home,12,3/29/16,Full,Y,,,,,,,,,,
1618217,6,A Brighter Day Learning Academy,925 W PLANTATION DR,,CLUTE,77531,BRAZORIA,Licensed Center - Child Care Program,153,3/2/17,Full,Y,,,,,,,,,,
1618341,3,Myrtle Williams-Autrey,305 CRYSTAL LAKE DR,,DESOTO,75115,DALLAS,Licensed Child-Care Home,12,1/17/17,Full,Y,,,,,,,,,,
1618359,6,Minority C Small,15318 FIR WOODS LN,,CYPRESS,77429,HARRIS,Registered Child-Care Home,12,2/11/16,Full,Y,,,,,,,,,,
1618364,6,Sheila Jane Anderson,791 PICKERING ST,,HOUSTON,77091,HARRIS,Registered Child-Care Home,12,3/1/16,Full,Y,,,,,,,,,,
1618446,7,Rubi Wells,1805 RUSTY NAIL LOOP,,ROUND ROCK,78681,WILLIAMSON,Listed Family Home,3,1/22/16,Full,Y,,,,,,,,,,
1618527,3,Donna  Davis-Berwick,7218 FOSSIL LAKE DR,,ARLINGTON,76002,TARRANT,Registered Child-Care Home,12,3/31/16,Full,Y,,,,,,,,,,
1618537,8,Little Safari Learning Center,1220 JEFFERSON ST,,KERRVILLE,78028,KERR,Licensed Center - Child Care Program,136,2/19/16,Full,Y,,,,,,,,,,
1618560,3,Young Sprouts Creative Learning Center,1116 SOUTHEAST PKWY,,AZLE,76020,TARRANT,Licensed Center - Child Care Program,139,6/30/16,Full,Y,,,,,,,,,,
1618561,11,Cisneros Day Care Center,1016 N ATHOL ST,,PHARR,78577,HIDALGO,Licensed Center - Child Care Program,37,9/9/16,Full,Y,,,,,,,,,,
1618596,6,True Love Childcare,40 WILSON RD,STE AA,HUMBLE,77338,HARRIS,Licensed Center - Before/After School Program,68,9/30/16,Full,Y,,,,,,,,,,
1618633,6,The Mighty Oak Children's Learning Academy,1425 WOLF RD,,HUFFMAN,77336,HARRIS,Licensed Child-Care Home,12,12/12/16,Full,Y,,,,,,,,,,
1618676,3,Kids Kampus Preschool Justin,427 BOSS RANGE RD,,JUSTIN,76247,DENTON,Licensed Center - Child Care Program,153,9/30/16,Full,Y,,,,,,,,,,
1618694,6,Lil' Angels Childcare & Learning Academy,8703 ANTOINE DR,,HOUSTON,77088,HARRIS,Licensed Center - Child Care Program,114,10/13/16,Full,Y,,,,,,,,,,
1618756,6,Early Scholars,9614 CABIN CREEK DR,,HOUSTON,77064,HARRIS,Licensed Child-Care Home,12,8/24/16,Full,Y,,,,,,,,,,
1618922,6,The Goddard School,3429 FM 2920 RD,,SPRING,77388,HARRIS,Licensed Center - Child Care Program,153,7/22/16,Full,Y,,,,,,,,,,
1618967,11,Lily's Little Kids Day Care Center,953 W PALMA VISTA DR,,PALMVIEW,78572,HIDALGO,Licensed Center - Child Care Program,75,8/31/16,Full,Y,,,,,,,,,,
1618982,3,Meadow Oaks Academy,8501 JACK FINNEY BLVD,,GREENVILLE,75402,HUNT,Licensed Center - Child Care Program,205,9/14/16,Full,Y,,,,,,,,,,
1618996,3,Wee Learn Day School,3496 FM 36 S,,CADDO MILLS,75135,HUNT,Licensed Center - Child Care Program,213,9/1/16,Full,Y,,,,,,,,,,
1619081,5,Kids Zone Academy of Learning,550 COUNTY ROAD 139 N,,JASPER,75951,JASPER,Licensed Child-Care Home,12,6/30/16,Full,Y,,,,,,,,,,
1619085,4,Molly Ward,260 PRIVATE ROAD 8903,,CANTON,75103,VAN ZANDT,Listed Family Home,3,2/9/16,Full,Y,,,,,,,,,,
1619096,3,Junior's Junction,7251 STONEWAY DR N,STE 100,FORT WORTH,76118,TARRANT,Licensed Center - Child Care Program,124,3/7/16,Full,Y,,,,,,,,,,
1619101,3,"Today's Kids Academy, LLC",10776 N BEACH ST,,FORT WORTH,76244,TARRANT,Licensed Center - Child Care Program,78,3/22/17,Full,Y,,,,,,,,,,
1619120,6,Primrose School at Lakeshore,16460 W LAKE HOUSTON PKWY,,HOUSTON,77044,HARRIS,Licensed Center - Child Care Program,282,9/30/16,Full,Y,,,,,,,,,,
1619125,6,Thu Huong Nguyen,11222 HILLSIDE GLEN TRL,,HOUSTON,77065,HARRIS,Registered Child-Care Home,12,2/26/16,Full,Y,,,,,,,,,,
1619182,6,Lori  Jackson,9318 TALTON ST,,HOUSTON,77078,HARRIS,Listed Family Home,0,2/11/16,Full,Y,,,,,,,,,,
1619201,6,YMCA Afterschool @ Rummel Creek,625 BRITTMOORE RD,,HOUSTON,77079,HARRIS,Licensed Center - School Age Program,85,3/28/16,Full,Y,,,,,,,,,,
1619202,8,Elizabeth Amanda Adams,518 CANDY DR,,CONVERSE,78109,BEXAR,Registered Child-Care Home,12,3/22/16,Full,N,Closed,,,,,,,,,
1619336,6,Kids R Kids #39,18410 TIMBER FOREST DR,,HUMBLE,77346,HARRIS,Licensed Center - Child Care Program,288,4/11/16,Full,Y,,,,,,,,N,,
1619396,3,San Juana Galvez,4539 LAKE AVE,APT 245,DALLAS,75219,DALLAS,Listed Family Home,3,4/22/16,Full,Y,,,,,,,,,,
1619416,6,Gabriela  Maria Serna,6522 WARFIELD LN,,HOUSTON,77084,HARRIS,Registered Child-Care Home,9,4/6/16,Full,Y,,,,,,,,N,,
1619437,3,Meredith Hook,2953 CEDAR RIDGE LN,,FORT WORTH,76177,DENTON,Listed Family Home,3,3/3/16,Full,Y,,,,,,,,,,
1619460,3,Creative Kids Academy II,5109 BUCKTHORN DR,,MCKINNEY,75071,COLLIN,Licensed Child-Care Home,12,11/10/16,Full,Y,,,,,,,,,,
1619501,3,Hazel McGee,5301 BARBERRY DR,,ARLINGTON,76018,TARRANT,Registered Child-Care Home,12,5/11/16,Full,Y,,,,,,,,,,
1619633,9,Borden County Independent School District Employee Daycare,240 W KINCAID,,GAIL,79738,BORDEN,Licensed Center - Child Care Program,13,3/4/16,Full,Y,,,,,,,,,,
1619697,7,Child Craft School,800 W 30TH ST,,AUSTIN,78705,TRAVIS,Licensed Center - Child Care Program,99,3/7/16,Full,Y,,,,,,,,,,
1619722,7,Latoria Nikia Moore,2012 GORMAN AVE,,WACO,76707,MCLENNAN,Listed Family Home,3,5/6/16,Full,Y,,,,,,,,,,
1619798,3,Peggy Ds Home Child Care,1205 PINE FOREST DR,,PRINCETON,75407,COLLIN,Licensed Child-Care Home,12,10/21/16,Full,Y,,,,,,,,,,
1619814,6,Priscilla Harvey,8019 RICHLAND DR,,HOUSTON,77028,HARRIS,Registered Child-Care Home,11,4/5/16,Full,N,,,,,,,,,,
1619836,3,Primrose School of Frisco at Main and Teel,9166 TEEL PKWY,,FRISCO,75034,DENTON,Licensed Center - Child Care Program,285,9/23/16,Full,Y,,,,,,,,,,
1619859,11,GLC ACADEMY,309 WILSON,,ELSA,78543,HIDALGO,Licensed Center - Child Care Program,87,11/8/16,Full,Y,,,,,,,,,,
1619878,3,Cheryl Rainey,531 HIGHLAND BLVD,,RICHARDSON,75081,DALLAS,Listed Family Home,3,3/8/16,Full,N,,,,,,Y,,,,
1619916,3,Sweet Home for Kids Childcare,812 SNAPDRAGON LN,,PLANO,75075,COLLIN,Licensed Child-Care Home,12,12/9/16,Full,Y,,,,,,,,,,
1619940,7,Lil' Rascals Learning Center,101 N SAN JACINTO,,WHITNEY,76692,HILL,Licensed Center - Child Care Program,34,9/19/16,Full,N,,,,,,,,,,
1620049,7,Kingdoms Treasure's Learning Center,3603 ZEPHYR RD,STE 100,KILLEEN,76543,BELL,Licensed Center - Child Care Program,74,8/16/16,Full,Y,,,,,,,,,,
1620059,2,Lisa Renay Lyons,21937 FM 2393,,WICHITA FALLS,76310,CLAY,Listed Family Home,3,2/16/16,Full,Y,,,,,,,,,,
1620076,6,Nia Louise Davey,21618 SUNRISE BROOK LN,,SPRING,77379,HARRIS,Listed Family Home,3,3/3/16,Full,Y,,,,,,,,,,
1620082,6,The Learning Tree,837 12TH ST,,HEMPSTEAD,77445,WALLER,Licensed Center - Child Care Program,50,8/22/16,Full,Y,,,,,,,,,,
1620116,3,Davia Gomez,1812 JACONA TRL,,FORT WORTH,76131,TARRANT,Listed Family Home,3,2/25/16,Full,Y,,,,,,,,,,
1620219,8,Kids of the Kingdom Episcopal School,11093 BANDERA RD,,SAN ANTONIO,78250,BEXAR,Licensed Center - Child Care Program,100,3/14/16,Full,Y,,,,,,,,,,
1620221,11,Mundo Magico Learning Center,6820 N EXPRESSWAY,# 77,BROWNSVILLE,78526,CAMERON,Licensed Center - Child Care Program,29,12/22/16,Full,Y,,,,,,,,,,
1620245,6,"Firefly Dual Language Academy, LLC",8510 ALMEDA GENOA RD,STE 404,HOUSTON,77075,HARRIS,Licensed Center - Child Care Program,110,10/10/16,Full,Y,,,,,,,,,,
1620261,1,Felicia Powell,12550 COUNTY ROAD P,,CLARENDON,79226,DONLEY,Registered Child-Care Home,12,5/23/16,Full,Y,,,,,,,,,,
1620280,6,Prepare 4 Success Daycare,8907 ORANGE SIREN DR,,HUMBLE,77338,HARRIS,Licensed Child-Care Home,12,9/1/16,Full,Y,,,,,,,,,,
1620282,3,Friendship Corner Christian Preschool,12465 FM 428,,CELINA,75009,COLLIN,Licensed Center - Child Care Program,112,5/6/16,Full,Y,,,,,,,,,,
1620365,10,Diana Jessica Romero,3429 WAYSIDE ST,,EL PASO,79936,EL PASO,Listed Family Home,3,4/28/16,Full,Y,,,,,,,,,,
1620377,6,Zeola Marie Lawson,4518 BOICEWOOD ST,,HOUSTON,77016,HARRIS,Listed Family Home,0,2/11/16,Full,Y,,N,,Y,,,,,,
1620441,7,Benjamin Zelisko,3701 APACHE FOREST DR,,AUSTIN,78739,TRAVIS,Listed Family Home,3,2/22/16,Full,N,,,,,,,,,,
1620502,6,Champions Learning Academy,17155 OLD LOUETTA RD,,HOUSTON,77070,HARRIS,Licensed Center - Child Care Program,184,8/24/16,Full,Y,,,,,,,,,,
1620503,5,Grandy's Daycare,6745 CAPITOL ST,,GROVES,77619,JEFFERSON,Licensed Child-Care Home,12,3/15/16,Full,Y,,,,,,,,,,
1620506,8,Make A Wish Daycare,10503 ROOSEVELT AVE,,SAN ANTONIO,78214,BEXAR,Licensed Center - Child Care Program,42,3/23/17,Full,Y,,,,,,,,,,
1620507,8,Make A Wish Learning Center,5851 WAR CLOUD DR,,SAN ANTONIO,78242,BEXAR,Licensed Center - Child Care Program,99,5/13/16,Full,Y,,,,,,,,,,
1620524,11,Melissa Yvette Garcia,8906 NORTHCREST DR,,LAREDO,78045,WEBB,Registered Child-Care Home,11,4/22/16,Full,N,,,,,,,,,,
1620527,7,Beth's Day Care,90 SUE ANN DR,,LAMPASAS,76550,LAMPASAS,Licensed Child-Care Home,12,9/12/16,Full,Y,,,,,,,,,,
1620528,8,Cardinal Montessori Academy,6506 W HAUSMAN RD,,SAN ANTONIO,78249,BEXAR,Licensed Center - Child Care Program,105,3/8/17,Full,Y,,,,,,,,,,
1620627,7,School in the Hills-River Place LLC,10819 RR 2222,,AUSTIN,78730,TRAVIS,Licensed Center - Child Care Program,275,8/25/16,Full,Y,,,,,,,,,,
1620628,8,The Precinct Academy and Daycare,7500 ECKHERT RD,STE 140,SAN ANTONIO,78240,BEXAR,Licensed Center - Child Care Program,65,9/28/16,Full,Y,,,,,,,,,,
1620739,3,Deanie  Sisneros,1236 MULHOLLAND DR,,GRAPEVINE,76051,TARRANT,Listed Family Home,3,3/29/16,Full,Y,,,,,,,,,,
1620750,6,K3 Creative Center,22424 IMPERIAL VALLEY DR,STE 900,HOUSTON,77073,HARRIS,Licensed Center - Child Care Program,87,2/17/16,Full,Y,,,,,,,,,,
1620826,1,Here We Grow Children's Learning Center,13405 QUAKER AVE,,LUBBOCK,79423,LUBBOCK,Licensed Center - Child Care Program,357,8/23/16,Full,Y,,,,,,,,,,
1620856,6,Khuong Thi Tran,4314 STILLBROOKE DR,,HOUSTON,77035,HARRIS,Registered Child-Care Home,12,3/7/16,Full,Y,,,,,,,,,,
1620923,3,Elaine  Robinson,4619 CARR ST,,THE COLONY,75056,DENTON,Listed Family Home,3,2/25/16,Full,Y,,,,,,,,,,
1620927,6,Carrie Magee,12119 KEMERTON DR,,HOUSTON,77099,HARRIS,Listed Family Home,3,2/25/16,Full,Y,,,,,,,,N,,
1620947,8,Juanita H. Lopez,108 W 5TH ST,,DEL RIO,78840,VAL VERDE,Registered Child-Care Home,12,4/2/16,Full,Y,,,,,,,,,,
1621036,7,Greater Needs CDC,1520 FLORENCE RD,,KILLEEN,76541,BELL,Licensed Center - Child Care Program,35,8/17/16,Full,Y,,,,,,,,,,
1621059,3,Sarmila Poudel,2300 LONG PARK AVE,,PROSPER,75078,COLLIN,Listed Family Home,3,3/8/16,Full,Y,,,,,,,,,,
1621102,4,Bricks Learning Center,4737 FM 1252 W,,KILGORE,75662,GREGG,Licensed Center - Child Care Program,81,9/29/16,Full,Y,,,,,,,,,,
1621119,6,Nakisha Price Ferguson,3802 GRAPEVINE ST,,HOUSTON,77045,HARRIS,Registered Child-Care Home,12,7/6/16,Full,N,,,,,,,,,,
1621131,10,Loriza Rojo Miranda,401 S COCKRELL ST,,ALPINE,79830,BREWSTER,Listed Family Home,0,3/10/16,Full,N,,,,,Closed,,,,,
1621226,6,Andrea Thompson,15513 SANTA FE DR,,SANTA FE,77517,GALVESTON,Listed Family Home,3,5/2/16,Full,Y,,,,,,,,,,
1621258,7,Little Britches,57 THOMAS DR,,MARTINDALE,78655,CALDWELL,Licensed Center - Child Care Program,99,3/27/17,Full,Y,,,,,,,,,,
1621261,6,Kids R Kids,6262 UPPER LAKE DR,,HUMBLE,77346,HARRIS,Licensed Center - Child Care Program,272,5/23/16,Full,Y,,,,,,,,,,
1621348,8,Jennifer Palma,13710 NEWMAN STAGE,,SAN ANTONIO,78254,BEXAR,Registered Child-Care Home,12,6/6/16,Full,Y,,,,,,,,,,
1621379,6,Emma  Garcia,181 THAT WAY,,BAY CITY,77414,MATAGORDA,Listed Family Home,3,4/19/16,Full,Y,,,,,,,,,,
1621428,5,Stephanie Faucett,7916 PECAN LN,,LUMBERTON,77657,HARDIN,Registered Child-Care Home,12,5/4/16,Full,Y,,,,,,,,,,
1621430-2729,6,YMCA Afterschool @DeZavala Elementary School,7521 AVENUE H,,HOUSTON,77012,HARRIS,Licensed Center - School Age Program,85,10/10/16,Full,N,,,,,,,,,,
1621558,3,Soaring Kids Childcare,5025 MONTEGO BAY DR,,IRVING,75038,DALLAS,Licensed Child-Care Home,12,11/10/16,Full,Y,,,,,,,,,,
1621559,6,Children's Lighthouse Cross Creek Ranch,5740 FM 1463 RD,,FULSHEAR,77441,FORT BEND,Licensed Center - Child Care Program,238,2/17/17,Full,Y,,,,,,,,,,
1621570,7,The Learning Experience,15542 RANCH ROAD 620 N,,AUSTIN,78717,WILLIAMSON,Licensed Center - Child Care Program,180,9/12/16,Full,Y,,,,,,,,,,
1621597,6,Zinnie's Home School,18215 TRACE POINT LN,,RICHMOND,77407,FORT BEND,Licensed Child-Care Home,12,10/4/16,Full,Y,,,,,,,,,,
1621700,3,Michelle Boyce,827 CLOVER HILL LN,,CEDAR HILL,75104,DALLAS,Listed Family Home,3,3/9/16,Full,Y,,,,,,,,,,
1621708,9,Little Bits of Heaven,2804 EMERSON LN,,MIDLAND,79705,MIDLAND,Licensed Child-Care Home,12,10/7/16,Full,Y,,,,,,,,,,
1621798,6,Delta Andrea De Leon,3101 FIRNAT ST,,HOUSTON,77093,HARRIS,Registered Child-Care Home,12,5/13/16,Full,Y,,,,,,,,,,
1621819,6,Renee Marie Cooley-Walker,1602 KRISWOOD DR,,HOUSTON,77014,HARRIS,Registered Child-Care Home,6,3/29/16,Full,Y,,,,,,,,,,
1621838,6,My-Hanh Tran,4910 JONI WAY,,RICHMOND,77407,FORT BEND,Registered Child-Care Home,11,4/12/16,Full,Y,,,,,,,,,,
1621857,11,Sandra Yvette Pina,3523 CUATRO VIENTOS DR,,LAREDO,78046,WEBB,Listed Family Home,0,4/6/16,Full,Y,,,,,,,,,,
1621962,7,Wholesome Generation,12251 RUNNING BIRD LN,,AUSTIN,78758,TRAVIS,Licensed Center - Child Care Program,76,7/20/16,Full,Y,,,,,,,,,,
1621997,3,Julie  Denise Sanderson,305 THOMPSON DR,,SAGINAW,76179,TARRANT,Registered Child-Care Home,12,7/5/16,Full,Y,,,,,,,,,,
1622003,3,Teresa Knowles,3956 PEREGINE PT,,CELINA,75009,DENTON,Listed Family Home,3,5/13/16,Full,Y,,,,,,,,,,
1622261,3,Hart To Heart Child Care,1115 BREWER DR,,CEDAR HILL,75104,DALLAS,Licensed Child-Care Home,12,12/20/16,Full,Y,,,,,,,,,,
1622284,3,Oree's Playhouse Daycare,427 SUMMERTREE LN,,DESOTO,75115,DALLAS,Licensed Child-Care Home,12,5/5/16,Full,Y,,,,,,,,,,
1622339,10,BRIGHT MINDS EARLY LEARNING CENTER,10761 PEBBLE HILLS BLVD,STE A,EL PASO,79935,EL PASO,Licensed Center - Child Care Program,110,8/31/16,Full,Y,,,,,,,,,,
1622365,6,Patricia Mcknight,3922 CLOVERBROOK DR,,HOUSTON,77045,HARRIS,Registered Child-Care Home,12,4/12/16,Full,Y,,,,,,,,,,
1622385,7,Jessica Wilson,6404 GRIFFITH LOOP,,KILLEEN,76549,BELL,Registered Child-Care Home,12,4/14/16,Full,Y,,,,,,,,,,
1622401,11,Emma A Garcia,1217 E TEXAS AVE,,SAN JUAN,78589,HIDALGO,Licensed Child-Care Home,12,10/19/16,Full,N,,,,,,,Closed,,,
1622557,11,Mirtha Pena Caudillo,2402 PIEDRA CHINA ST,,LAREDO,78043,WEBB,Listed Family Home,0,4/6/16,Full,Y,,,,,,,,,,
1622561,6,Lil' Pony Playhouse,7102 LIVERY LN,,CYPRESS,77433,HARRIS,Licensed Child-Care Home,12,10/14/16,Full,N,,,,,,,,,,
1622578,3,"Kiddie Academy of Stonebridge, McKinney",6300 VIRGINIA PKWY,,MCKINNEY,75071,COLLIN,Licensed Center - Child Care Program,175,9/28/16,Full,Y,,,,,,,,,,
1622585,9,Maricel Banks,528 BUNCHE AVE,,ODESSA,79761,ECTOR,Listed Family Home,3,5/9/16,Full,Y,,,,,,,,,,
1622636,6,Ebony Marie Nelson,16719 QUAIL PARK DR,,MISSOURI CITY,77489,FORT BEND,Registered Child-Care Home,12,6/6/16,Full,N,,,,,,,,,,
1622777,6,Valsamma Koshy,12038 CHRISTOPHERS WALK TRL,,HOUSTON,77089,HARRIS,Listed Family Home,3,3/15/16,Full,N,,,,,,,,,,
1622876,6,Eagles On The Rock Bilingual Academy,433 BARKER CYPRESS RD,,HOUSTON,77094,HARRIS,Licensed Center - Child Care Program,145,10/25/16,Full,Y,,,,,,,,,,
1622959,5,Beaumont Creative Learning Center,7495 CALDER AVE,,BEAUMONT,77706,JEFFERSON,Licensed Center - Child Care Program,241,3/31/16,Full,Y,,,,,,,,,,
1622971,6,Fishcreek Kids Academy LLC,1011 HONEA EGYPT RD,,MAGNOLIA,77354,MONTGOMERY,Licensed Center - Child Care Program,254,9/16/16,Full,Y,,,,,,,,,,
1623018,8,Foundation In Christ LLC,1739 COMMERCIAL AVE,,SAN ANTONIO,78221,BEXAR,Licensed Center - Child Care Program,99,3/31/17,Full,Y,,,,,,,,,,
1623062,3,Katherine Newkirk,211 RAMSEY ST,,CEDAR HILL,75104,DALLAS,Listed Family Home,0,3/15/16,Full,N,,,,,,,,,,
1623119,9,Luz E Diaz,3126 PAINT ROCK RD,,SAN ANGELO,76905,TOM GREEN,Registered Child-Care Home,5,3/30/16,Full,Y,,,,,,,,,,
1623297,8,Auntie's Place,6749 BANDERA RD,,SAN ANTONIO,78238,BEXAR,Licensed Center - Child Care Program,19,6/26/17,Full,Y,,,,,,,,,,
1623306,7,Jessica Krumm,8647 THUNDERBIRD RD,,AUSTIN,78736,TRAVIS,Listed Family Home,3,3/21/16,Full,Y,,,,,,,,N,,
1623338,6,Growing Tree Learning Center,2401 N LOGAN ST,STE A,TEXAS CITY,77590,GALVESTON,Licensed Center - Child Care Program,102,4/11/16,Full,Y,,,,,,,,,,
1623356,8,Stepping Stones Children's Academy,7326 LOUIS PASTEUR DR,,SAN ANTONIO,78229,BEXAR,Licensed Center - Child Care Program,110,10/25/16,Full,Y,,,,,,,,,,
1623366,6,Creative Starts Childcare,13423 WOODFOREST BLVD,,HOUSTON,77015,HARRIS,Licensed Center - Child Care Program,91,11/1/16,Full,Y,,,,,,,Closed,N,,
1623379,8,Amber's Lil Angels,314 AMISTAD BLVD,,UNIVERSAL CITY,78148,BEXAR,Licensed Child-Care Home,12,12/20/16,Full,Y,,,,,,,,,,
1623380,6,Blessed Hands Daycare,13422 GALENA CREEK DR,,HOUSTON,77086,HARRIS,Licensed Child-Care Home,12,10/4/16,Full,Y,,,,,,,,,,
1623556,3,"Burleson Child Development Center,  Inc #2",125 NW NEWTON DR,,BURLESON,76028,JOHNSON,Licensed Center - Child Care Program,93,10/3/16,Full,Y,,,,,,,,,,
1623668,8,Kid's Campus Child Care,7271 WURZBACH RD,STE 125,SAN ANTONIO,78240,BEXAR,Licensed Center - Child Care Program,101,4/22/16,Full,Y,,,,,,,,,,
1623720,6,Primrose School of Upper Kirby,3001 RICHMOND AVE,,HOUSTON,77098,HARRIS,Licensed Center - Child Care Program,207,10/21/16,Full,Y,,,,,,,,,,
1623738-5531,10,YWCA Myrtle Cooper A/S Program,1515 REBECCA ANN DR,,EL PASO,79936,EL PASO,Licensed Center - Before/After School Program,40,2/24/17,Full,N,,,,,,,,,,
1623757,7,Sabrina Lynne Alms,2011 WATER ST,,BASTROP,78602,BASTROP,Listed Family Home,0,3/21/16,Full,Y,,,,,,N,,,,
1623817,6,Ha Pham,13226 BOXWOOD TERRACE DR,,HOUSTON,77083,HARRIS,Registered Child-Care Home,12,4/13/16,Full,Y,,,,,,,,,,
1623856,6,Phuong Linh Nguyen,18223 BRIGHTWOOD PARK LN,,RICHMOND,77407,FORT BEND,Registered Child-Care Home,12,4/22/16,Full,Y,,,,,,,,,,
1623939,6,Annette Carolyn Brooks,10611 PINE LANDING DR,UNIT B,HOUSTON,77088,HARRIS,Registered Child-Care Home,12,5/4/16,Full,Y,,,,,,,,,,
1624000,4,Bobbie  Lee,415 DODD ST,,LONGVIEW,75603,GREGG,Listed Family Home,3,3/24/16,Full,N,,,,,,,,,,
1624117,6,Repair the Breach Early Learning Center Primary,103 E CROCKETT ST,,CLEVELAND,77327,LIBERTY,Licensed Center - Child Care Program,74,9/20/16,Full,Y,,,,,,,,,,
1624137,5,Krista  Swearingen,406 RANDYBROOK DR,,LUFKIN,75901,ANGELINA,Listed Family Home,3,3/29/16,Full,Y,,,,,,,,,,
1624177,8,Eden Learning Center LLC.,2435 N VETERANS BLVD,,EAGLE PASS,78852,MAVERICK,Licensed Center - Child Care Program,69,6/14/17,Full,Y,,,,,,,,,,
1624529,6,Phuong Uyen Luu,5818 HENNIKER DR,,HOUSTON,77041,HARRIS,Registered Child-Care Home,12,5/2/16,Full,Y,,,,,,,,,,
